,City,Cloudiness,Humidity,Country,Date,Latitude,Longitude,Max Temperature,Wind Speed
179,Marsh Harbour,0,57,BS,1585959796,26.54,-77.06,72.18,10.54
180,Kavieng,96,82,PG,1585959796,-2.57,150.8,81.21,12.37
181,Noumea,90,62,NC,1585959775,-22.28,166.46,86.0,5.82
182,Bilma,0,13,NE,1585959664,18.69,12.92,86.2,7.05
183,Comodoro Rivadavia,51,36,AR,1585959796,-45.87,-67.5,64.4,25.28
184,São Gabriel da Cachoeira,100,89,BR,1585959796,-0.13,-67.09,77.05,0.78
185,Mmabatho,100,61,ZA,1585959796,-25.85,25.63,57.25,6.73
186,Fortuna,1,57,US,1585959797,40.6,-124.16,54.0,10.29
187,Acapulco de Juárez,20,70,MX,1585959797,16.86,-99.89,84.2,6.93
188,Ndélé,50,65,CF,1585959797,8.41,20.65,75.42,5.19
189,Caniço,40,82,PT,1585959797,32.63,-16.85,64.4,4.7
190,Kintinku,92,72,TZ,1585959797,-5.88,35.23,66.76,0.94
191,Aklavik,40,43,CA,1585959798,68.22,-135.01,15.8,5.82
192,College,90,69,US,1585959653,64.86,-147.8,36.0,9.17
193,Tuktoyaktuk,40,65,CA,1585959798,69.45,-133.04,5.0,9.17
194,Spornoye,0,32,RU,1585960182,50.84,37.29,41.0,11.18
195,Victor Harbor,75,55,AU,1585959798,-35.57,138.62,62.6,24.16
196,Buala,99,76,SB,1585959798,-8.14,159.59,82.89,10.85
197,Cap Malheureux,75,94,MU,1585959798,-19.98,57.61,75.2,3.36
198,Bud,40,48,US,1585959798,39.45,-86.18,66.99,2.82
199,Roald,100,83,NO,1585959559,62.58,6.13,33.01,17.22
200,Pangody,85,96,RU,1585959798,65.85,74.49,26.73,16.96
201,Elizabeth City,1,41,US,1585959595,36.29,-76.25,61.0,11.41
202,Souillac,75,94,MU,1585959798,-20.52,57.52,75.2,3.36
203,Kütahya,82,93,TR,1585959799,39.42,29.98,35.6,6.93
204,Mandera,80,9,KE,1585959580,3.94,41.87,84.99,3.0
205,Zhigansk,100,94,RU,1585959799,66.77,123.37,15.37,31.12
206,Chokurdakh,56,89,RU,1585959799,70.63,147.92,-11.56,4.99
207,Kumul,100,25,CN,1585959799,42.8,93.45,50.72,7.0
208,Oktyabr'skiy,4,89,RU,1585959799,54.48,53.47,29.57,3.29
209,Udachny,90,92,RU,1585959799,66.42,112.4,23.0,8.95
210,Savannah Bight,0,77,HN,1585959799,16.45,-85.85,80.47,21.23
211,Zhengjiatun,0,62,CN,1585959800,43.51,123.51,34.25,20.31
212,Plettenberg Bay,4,50,ZA,1585959800,-34.05,23.37,72.25,3.98
213,Adrar,0,15,MR,1585959800,20.5,-10.07,76.01,6.26
214,Nouadhibou,0,88,MR,1585959800,20.93,-17.03,64.4,8.05
215,Yeniseysk,2,96,RU,1585959800,58.45,92.17,26.24,4.03
216,Havelock,1,23,US,1585959687,34.88,-76.9,64.4,5.82
217,Yacuiba,20,53,BO,1585959800,-22.04,-63.68,60.35,0.89
218,Yar-Sale,79,96,RU,1585959800,66.83,70.83,28.87,19.48
219,Anadyr,40,84,RU,1585959800,64.75,177.48,-0.4,13.42
220,Nome,90,92,US,1585959801,64.5,-165.41,32.0,10.29
221,Abaeté,100,74,BR,1585959801,-19.16,-45.45,72.03,4.16
222,Yelizovo,77,24,RU,1585959801,53.19,158.38,35.6,8.95
223,Torbay,90,100,CA,1585959801,47.67,-52.73,30.99,17.22
224,Christchurch,77,63,NZ,1585959771,-43.53,172.63,64.0,20.8
225,Canberra,66,81,AU,1585959509,-35.28,149.13,57.99,7.0
226,Mae Hong Son,20,64,TH,1585959780,19.3,97.97,69.8,1.14
227,Hede,43,59,CN,1585959801,33.77,120.25,53.78,8.39
228,Gua Musang,94,89,MY,1585959801,4.88,101.96,74.23,0.65
229,Hellvik,40,100,NO,1585959801,59.92,5.78,34.0,12.75
230,Alofi,100,88,NU,1585959801,-19.06,-169.92,78.8,9.17
231,Beyneu,98,77,KZ,1585959802,45.32,55.2,44.65,15.32
232,Kupang,20,83,ID,1585959802,-10.17,123.58,84.2,4.7
233,Baturaja,97,92,ID,1585959802,-4.13,104.17,75.97,1.43
234,Takoradze,72,86,GH,1585959802,4.88,-1.76,80.94,7.36
235,Verkhoyansk,8,85,RU,1585959802,67.54,133.38,4.01,5.14
236,Berovo,100,79,MK,1585959802,41.7,22.86,46.99,1.01
237,Erzin,20,87,TR,1585959802,36.96,36.2,51.8,4.7
238,Canutama,34,82,BR,1585959803,-6.53,-64.38,78.35,1.01
239,Mayor Pablo Lagerenza,0,39,PY,1585959803,-19.93,-60.77,71.8,4.85
240,Presidencia Roque Sáenz Peña,1,55,AR,1585959803,-26.79,-60.44,61.36,2.39
241,Annonay,5,75,FR,1585959803,45.24,4.67,48.2,2.24
242,Bereda,0,87,ES,1585959803,43.27,-7.54,48.99,4.7
243,Atherton,96,81,GB,1585959803,53.52,-2.49,48.0,3.36
244,Yulara,0,48,AU,1585959803,-25.24,130.99,64.4,17.22
245,Dicabisagan,4,68,PH,1585959804,17.08,122.42,80.04,2.91
246,Comarapa,51,59,BO,1585959786,-17.9,-64.48,57.87,2.53
247,‘Āhuimanu,40,58,US,1585959804,21.44,-157.84,84.2,10.29
248,Klaksvík,90,63,FO,1585959804,62.23,-6.59,28.4,9.73
249,Hasaki,20,63,JP,1585959804,35.73,140.83,61.0,5.82
250,Ippy,100,70,CF,1585959804,6.27,21.22,72.61,4.65
251,Sapele,95,90,NG,1585959804,5.89,5.68,79.92,3.0
252,Haapiti,2,70,PF,1585959805,-17.57,-149.87,87.8,14.99
253,Falkenberg,0,69,SE,1585959805,56.91,12.49,37.99,13.87
254,Hastings,31,100,GB,1585959639,50.86,0.57,45.0,6.93
255,Arman',26,84,RU,1585959805,59.7,150.17,19.09,2.21
256,Palu,94,67,ID,1585959805,-0.89,119.87,83.14,1.92
257,Samarai,63,77,PG,1585959805,-10.62,150.67,81.37,11.86
258,Doka,20,30,SD,1585959806,13.52,35.77,77.65,9.73
259,Svetlaya,100,81,RU,1585959806,46.54,138.33,36.43,14.2
260,Honningsvåg,83,79,NO,1585959806,70.98,25.97,19.4,17.22
261,Milford,90,71,US,1585959740,41.22,-73.06,51.8,14.99
262,Benjamin Constant,75,100,BR,1585959806,-4.38,-70.03,77.0,6.93
263,Lagos,40,83,NG,1585959650,6.58,3.75,82.4,5.82
264,Mīnāb,0,88,IR,1585959806,27.15,57.08,68.0,4.7
265,Amboise,6,81,FR,1585959790,47.41,0.98,48.2,4.7
266,Bugko,2,81,PH,1585959806,12.54,124.79,80.65,8.97
267,Brae,100,86,GB,1585959516,60.4,-1.35,32.0,4.47
268,Juneau,90,80,US,1585959538,58.3,-134.42,30.2,13.87
269,Baruun-Urt,0,39,MN,1585959807,46.68,113.28,33.87,11.03
270,Carnarvon,100,69,AU,1585959807,-24.87,113.63,73.4,11.41
271,Tsuruoka,0,41,JP,1585959807,38.72,139.82,57.2,6.93
272,Ostrovnoy,75,96,RU,1585959807,68.05,39.51,24.3,19.46
273,Vincennes,20,70,FR,1585959732,48.85,2.43,48.99,4.7
274,Clyde River,1,84,CA,1585959807,70.47,-68.59,3.2,21.92
275,Deputatsky,3,82,RU,1585959807,69.3,139.9,-4.27,3.02
276,Bundaberg,69,58,AU,1585959761,-24.85,152.35,82.4,12.75
277,Fort Smith,90,93,US,1585959598,35.39,-94.4,44.01,11.41
278,Libreville,75,94,GA,1585959700,0.39,9.45,78.8,6.93
279,Lundamo,100,74,NO,1585959808,63.13,10.3,30.2,18.34
280,Marawi,5,62,PH,1585959808,8.0,124.29,76.5,1.36
281,Faya,1,72,SA,1585959808,18.39,42.45,62.6,1.86
282,La Serena,40,87,CL,1585959597,-29.91,-71.25,59.0,6.93
283,Redmond,90,61,US,1585959637,47.67,-122.12,48.2,5.82
284,Rio Piracicaba,89,71,BR,1585959808,-19.93,-43.17,71.46,4.79
285,Erenhot,0,40,CN,1585959809,43.65,111.98,36.73,12.1
286,Oodweyne,29,43,SO,1585960299,9.41,45.06,75.31,7.45
287,Caravelas,4,87,BR,1585959809,-17.71,-39.25,80.42,16.44
288,Sungai Penuh,86,71,ID,1585959809,-2.08,101.38,66.92,2.13
289,West Bay,20,78,KY,1585959809,19.37,-81.42,81.0,3.36
290,Ancud,75,81,CL,1585959809,-41.87,-73.82,50.0,5.82
291,Sambava,49,86,MG,1585959809,-14.27,50.17,75.42,8.93
292,Kenai,1,74,US,1585959761,60.55,-151.26,37.4,5.82
293,Fort Nelson,75,32,CA,1585959809,58.81,-122.7,24.8,6.93
294,Faanui,45,71,PF,1585959809,-16.48,-151.75,83.52,8.75
295,General Roca,0,72,AR,1585959809,-39.03,-67.58,62.6,8.41
296,Mtsensk,71,80,RU,1585959810,53.28,36.57,39.24,7.16
297,Santa Isabel,40,63,BR,1585959810,-23.32,-46.22,68.0,3.36
298,Staraya Kulatka,89,68,RU,1585959810,52.72,47.62,39.2,5.5
299,Tabou,100,87,CI,1585959810,4.42,-7.35,80.29,4.9
300,Alta Floresta,57,81,BR,1585959810,-9.88,-56.09,76.28,2.8
301,Norman Wells,75,66,CA,1585959810,65.28,-126.83,10.4,5.82
302,Namatanai,85,75,PG,1585959810,-3.67,152.43,82.27,6.64
303,Cockburn Town,1,72,TC,1585959810,21.46,-71.14,75.67,13.0
304,Pochutla,5,66,MX,1585959810,15.74,-96.47,86.0,11.41
305,Liverpool,88,81,GB,1585959811,53.41,-2.98,48.0,3.36
306,New Albany,1,59,US,1585959810,38.29,-85.82,69.01,1.81
307,Tigil',3,89,RU,1585959811,57.8,158.67,17.22,13.2
308,High Level,75,41,CA,1585959811,58.52,-117.14,21.2,10.29
309,Dudinka,76,84,RU,1585959811,69.41,86.18,8.6,20.13
310,Castel San Pietro Terme,0,70,IT,1585959811,44.4,11.58,45.0,5.82
311,Selma,48,31,US,1585959811,36.57,-119.61,70.0,6.93
312,Bembibre,5,86,ES,1585959811,42.62,-6.42,46.0,5.82
313,Coquimbo,40,87,CL,1585959812,-29.95,-71.34,59.0,6.93
314,Iqaluit,5,69,CA,1585959812,63.75,-68.51,-9.0,25.28
315,Islamkot,0,28,PK,1585959812,24.7,70.18,78.21,4.76
316,Mallāpuram,3,72,IN,1585959812,11.97,78.25,66.74,1.54
317,St. George's,20,83,GD,1585959812,12.06,-61.75,80.6,17.22
318,Surab,58,28,PK,1585959812,28.49,66.26,57.42,5.61
319,Port-Gentil,83,84,GA,1585959812,-0.72,8.78,82.47,12.93
320,Dalnegorsk,100,81,RU,1585959813,44.56,135.57,34.5,7.83
321,Owerri,91,90,NG,1585959813,5.48,7.03,78.82,3.56
322,Laguna,1,19,US,1585959813,38.42,-121.42,69.01,4.7
323,Tamiahua,7,85,MX,1585959813,21.27,-97.45,80.17,10.29
324,Marabá,90,94,BR,1585959813,-5.37,-49.12,78.8,4.7
325,Otofuke,40,60,JP,1585959814,42.99,143.2,39.2,1.12
326,Kahului,1,51,US,1585959814,20.89,-156.47,84.2,10.29
327,Labuhan,57,80,ID,1585959814,-6.88,112.21,81.39,3.91
328,Luwuk,77,68,ID,1585959814,-0.95,122.79,82.81,1.63
329,Hareid,100,88,NO,1585959814,62.37,6.03,33.01,17.22
330,Atar,0,20,MR,1585959815,20.52,-13.05,72.03,4.41
331,Esperance,90,55,AU,1585959815,-33.87,121.9,60.8,6.93
332,Sur,1,59,OM,1585959815,22.57,59.53,79.65,4.5
333,Port Blair,18,72,IN,1585959815,11.67,92.75,81.88,7.72
334,Sakakah,14,26,SA,1585959815,29.97,40.21,60.8,3.36
335,Sabang,94,78,ID,1585959816,5.89,95.32,83.12,12.08
336,Havøysund,40,79,NO,1585959816,71.0,24.66,24.8,35.57
337,Alyangula,13,74,AU,1585959816,-13.85,136.42,86.0,10.29
338,Richards Bay,100,80,ZA,1585959816,-28.78,32.04,71.15,14.29
339,Akdepe,12,81,TM,1585959816,42.06,59.38,48.2,6.93
340,Yershov,0,68,RU,1585959816,51.35,48.28,39.16,6.24
341,Porto Santo,40,93,PT,1585959816,33.07,-16.34,64.4,12.75
342,Santa Cruz de la Sierra,75,69,BO,1585959615,-17.8,-63.17,73.4,5.82
343,Andenes,78,92,NO,1585959817,69.31,16.12,26.01,1.12
344,Ukiah,1,41,US,1585960374,39.15,-123.21,64.99,10.29
345,Nyurba,100,95,RU,1585959817,63.28,118.33,21.94,11.27
346,Otavi,13,57,NA,1585960377,-19.65,17.33,62.29,5.46
347,Kembé,99,84,CF,1585959817,4.62,21.89,71.6,4.94
348,Qasigiannguit,65,50,GL,1585959817,68.82,-51.19,8.6,6.93
349,Aswān,33,32,EG,1585960380,24.09,32.91,69.87,6.58
350,Termez,63,54,UZ,1585959818,37.22,67.28,59.0,9.17
351,Lakatoro,90,83,VU,1585959818,-16.1,167.42,80.6,10.29
352,Vila Franca do Campo,40,87,PT,1585959818,37.72,-25.43,60.8,24.16
353,Puerto Escondido,5,79,MX,1585959818,15.85,-97.07,84.2,13.87
354,Mundi,9,18,IN,1585959818,22.07,76.5,78.66,10.67
355,Sibolga,100,79,ID,1585959818,1.74,98.78,78.28,3.02
356,Sisimiut,88,90,GL,1585959818,66.94,-53.67,8.35,12.44
357,Nishihara,90,93,JP,1585959818,26.18,127.76,68.0,6.93
358,Łęczna,9,64,PL,1585959819,51.3,22.88,35.01,4.7
359,Omboué,85,87,GA,1585959819,-1.57,9.26,80.04,9.4
360,Majene,100,74,ID,1585959819,-3.54,118.97,81.23,4.47
361,Trairi,100,83,BR,1585959558,-3.28,-39.27,80.31,7.56
362,Tokur,90,88,RU,1585959819,53.13,132.9,15.85,4.81
363,Itoman,75,94,JP,1585959819,26.12,127.67,68.0,8.05
364,Ixtapa,5,54,MX,1585959819,20.7,-105.2,78.8,9.17
365,Requena,31,93,ES,1585959819,39.49,-1.1,54.0,9.17
366,Kazanskaya,23,79,RU,1585959820,45.41,40.44,41.7,3.4
367,Bondoukou,28,72,CI,1585959820,8.03,-2.8,78.06,7.61
368,Sechelt,75,53,CA,1585959820,49.47,-123.77,48.99,5.82
369,Pontes e Lacerda,57,88,BR,1585959820,-15.23,-59.34,74.19,1.81
370,Amalāpuram,3,93,IN,1585959820,16.58,82.02,74.08,0.65
371,Pleshanovo,99,88,RU,1585959605,52.83,53.48,33.8,7.29
372,Chicama,11,70,PE,1585959820,-7.84,-79.15,75.45,6.89
373,Katsuura,72,76,JP,1585959820,35.13,140.3,63.0,4.7
374,Őcsény,1,67,HU,1585959821,46.31,18.76,43.3,5.61
